Line,Name,ImageReference
urn:cts:greekLit:tlg0012.tlg001.e4:1.86,Calchas,"urn:cite:hmt:e4img.e4_546@0.377,0.32,0.068,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.102,Agamemnon, "urn:cite:hmt:e4img.e4_546@0.337,0.5887,0.105,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.113,Clytemnestra,"urn:cite:hmt:e4img.e4_238@0.27,0.1713,0.101,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.121,Achilles,"urn:cite:hmt:e4img.e4_238@0.402,0.2933,0.06,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e4:1.263,Perithous,"urn:cite:hmt:e4img.e4_544@0.177,0.6953,0.076,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.263,Dryas,"urn:cite:hmt:e4img.e4_544@0.262,0.694,0.053,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.264,Caeneus,"urn:cite:hmt:e4img.e4_544@0.141,0.7107,0.062,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.264,Exadion,"urn:cite:hmt:e4img.e4_544@0.216,0.7127,0.056,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.264,Polyphemus,"urn:cite:hmt:e4img.e4_544@0.369,0.708,0.09,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.318,Agamemnon,"urn:cite:hmt:e4img.e4_543@0.356,0.2933,0.077,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.320,Talthybius,"urn:cite:hmt:e4img.e4_543@0.155,0.3327,0.088,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.320,Eurybates,"urn:cite:hmt:e4img.e4_543@0.267,0.3287,0.071,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.335,Agamemnon,"urn:cite:hmt:e4img.e4_543@0.397,0.574,0.065,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.348,Achilles,"urn:cite:hmt:e4img.e4_235@0.41,0.2053,0.056,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.364,Achilles,"urn:cite:hmt:e4img.e4_235@0.406,0.4367,0.059,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.373,Apollo,"urn:cite:hmt:e4img.e4_235@0.39,0.5687,0.075,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.411,Agamemnon,"urn:cite:hmt:e4img.e4_542@0.35,0.5207,0.087,0.022"
urn:cts:greekLit:tlg0012.tlg001.e4:1.438,Apollo,"urn:cite:hmt:e4img.e4_234@0.379,0.3693,0.073,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.20,Neleus,"urn:cite:hmt:e4img.e4_537@0.238,0.4747,0.062,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.21,Nestor,"urn:cite:hmt:e4img.e4_537@0.089,0.4933,0.052,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:2.100,Agamemnon,"urn:cite:hmt:e4img.e4_536@0.344,0.5133,0.06,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:2.101,Hephaestus,"urn:cite:hmt:e4img.e4_536@0.269,0.532,0.061,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:2.102,Hephaestus,"urn:cite:hmt:e4img.e4_536@0.094,0.5473,0.058,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:2.102,Zeus,"urn:cite:hmt:e4img.e4_536@0.213,0.55,0.031,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:2.104,Pelops,"urn:cite:hmt:e4img.e4_536@0.237,0.582,0.069,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:2.105,Pelops,"urn:cite:hmt:e4img.e4_536@0.194,0.596,0.054,0.0213"
urn:cts:greekLit:tlg0012.tlg001.e4:2.106,Thyestes,"urn:cite:hmt:e4img.e4_536@0.353,0.6133,0.052,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:2.107,Thyestes,"urn:cite:hmt:e4img.e4_536@0.189,0.6307,0.045,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:2.107,Agamemnon,"urn:cite:hmt:e4img.e4_536@0.231,0.63,0.101,0.0207"
