Line,Name,ImageReference
urn:cts:greekLit:tlg0012.tlg001.e4:1.16,Menelaus,"urn:cite:hmt:e4img.e4_547@0.747,0.4333,0.042,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.69,Calchas,"urn:cite:hmt:e4img.e4_239@0.512,0.704,0.049,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.75,Apollo,"urn:cite:hmt:e4img.e4_546@0.689,0.128,0.11,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.87,Apollo,"urn:cite:hmt:e4img.e4_546@0.565,0.3173,0.081,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.102,Atreus,"urn:cite:hmt:e4img.e4_546@0.566,0.584,0.039,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:1.102,Agamemnon,"urn:cite:hmt:e4img.e4_546@0.604,0.584,0.069,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:1.105,Calchas,"urn:cite:hmt:e4img.e4_546@0.537,0.6347,0.067,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.110,Apollo,"urn:cite:hmt:e4img.e4_546@0.664,0.7147,0.067,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.113,Clytemnestra,"urn:cite:hmt:e4img.e4_238@0.618,0.152,0.103,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.120,Achilles,"urn:cite:hmt:e4img.e4_238@0.766,0.284,0.036,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.122,Agamemnon,"urn:cite:hmt:e4img.e4_238@0.739,0.3,0.064,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.130,Agamemnon,"urn:cite:hmt:e4img.e4_238@0.695,0.436,0.061,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.131,Achilles,"urn:cite:hmt:e4img.e4_238@0.752,0.4513,0.059,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.143,Chrisis,"urn:cite:hmt:e4img.e4_238@0.674,0.6493,0.042,0.0167"
