Text,Image
urn:cts:greekLit:tlg0012.tlg001.e4:1.1,"urn:cite:hmt:e4img.e4_547@0.038,0.208,0.362,0.0427"
urn:cts:greekLit:tlg0012.tlg001.e4:1.2,"urn:cite:hmt:e4img.e4_547@0.083,0.2227,0.322,0.0213"
urn:cts:greekLit:tlg0012.tlg001.e4:1.3,"urn:cite:hmt:e4img.e4_547@0.083,0.2373,0.324,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.4,"urn:cite:hmt:e4img.e4_547@0.08,0.2553,0.323,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.5,"urn:cite:hmt:e4img.e4_547@0.079,0.272,0.328,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.6,"urn:cite:hmt:e4img.e4_547@0.08,0.2867,0.332,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.7,"urn:cite:hmt:e4img.e4_547@0.083,0.2973,0.338,0.026"
urn:cts:greekLit:tlg0012.tlg001.e4:1.8,"urn:cite:hmt:e4img.e4_547@0.082,0.3147,0.336,0.0227"
urn:cts:greekLit:tlg0012.tlg001.e4:1.9,"urn:cite:hmt:e4img.e4_547@0.081,0.332,0.334,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.10,"urn:cite:hmt:e4img.e4_547@0.08,0.3433,0.333,0.0267"
urn:cts:greekLit:tlg0012.tlg001.e4:1.11,"urn:cite:hmt:e4img.e4_547@0.081,0.3593,0.329,0.0247"
urn:cts:greekLit:tlg0012.tlg001.e4:1.12,"urn:cite:hmt:e4img.e4_547@0.079,0.3767,0.334,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.13,"urn:cite:hmt:e4img.e4_547@0.082,0.392,0.334,0.022"
urn:cts:greekLit:tlg0012.tlg001.e4:1.14,"urn:cite:hmt:e4img.e4_547@0.082,0.406,0.332,0.0213"
urn:cts:greekLit:tlg0012.tlg001.e4:1.15,"urn:cite:hmt:e4img.e4_547@0.073,0.4207,0.343,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.16,"urn:cite:hmt:e4img.e4_547@0.079,0.436,0.336,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.17,"urn:cite:hmt:e4img.e4_547@0.084,0.4527,0.324,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.18,"urn:cite:hmt:e4img.e4_547@0.084,0.4673,0.336,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.19,"urn:cite:hmt:e4img.e4_547@0.083,0.482,0.333,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.20,"urn:cite:hmt:e4img.e4_547@0.08,0.496,0.346,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e4:1.21,"urn:cite:hmt:e4img.e4_547@0.079,0.5107,0.33,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e4:1.22,"urn:cite:hmt:e4img.e4_547@0.082,0.528,0.34,0.0227"
urn:cts:greekLit:tlg0012.tlg001.e4:1.23,"urn:cite:hmt:e4img.e4_547@0.086,0.544,0.33,0.0213"
urn:cts:greekLit:tlg0012.tlg001.e4:1.24,"urn:cite:hmt:e4img.e4_547@0.083,0.558,0.339,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e4:1.25,"urn:cite:hmt:e4img.e4_547@0.085,0.5753,0.328,0.0213"
urn:cts:greekLit:tlg0012.tlg001.e4:1.26,"urn:cite:hmt:e4img.e4_547@0.09,0.5887,0.332,0.0213"
urn:cts:greekLit:tlg0012.tlg001.e4:1.27,"urn:cite:hmt:e4img.e4_547@0.089,0.6033,0.325,0.022"
urn:cts:greekLit:tlg0012.tlg001.e4:1.28,"urn:cite:hmt:e4img.e4_547@0.089,0.6173,0.336,0.022"
urn:cts:greekLit:tlg0012.tlg001.e4:1.29,"urn:cite:hmt:e4img.e4_547@0.093,0.6307,0.333,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.30,"urn:cite:hmt:e4img.e4_547@0.088,0.6453,0.346,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.31,"urn:cite:hmt:e4img.e4_547@0.088,0.662,0.34,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.32,"urn:cite:hmt:e4img.e4_547@0.093,0.6773,0.324,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e4:1.33,"urn:cite:hmt:e4img.e4_547@0.072,0.6807,0.348,0.0327"
urn:cts:greekLit:tlg0012.tlg001.e4:1.34,"urn:cite:hmt:e4img.e4_547@0.101,0.706,0.32,0.0347"
urn:cts:greekLit:tlg0012.tlg001.e4:1.35,"urn:cite:hmt:e4img.e4_239@0.178,0.23,0.299,0.028"
urn:cts:greekLit:tlg0012.tlg001.e4:1.36,"urn:cite:hmt:e4img.e4_239@0.177,0.2433,0.304,0.0307"
urn:cts:greekLit:tlg0012.tlg001.e4:1.37,"urn:cite:hmt:e4img.e4_239@0.174,0.2553,0.301,0.032"
urn:cts:greekLit:tlg0012.tlg001.e4:1.38,"urn:cite:hmt:e4img.e4_239@0.174,0.2727,0.305,0.0293"
urn:cts:greekLit:tlg0012.tlg001.e4:1.39,"urn:cite:hmt:e4img.e4_239@0.181,0.29,0.29,0.024"
urn:cts:greekLit:tlg0012.tlg001.e4:1.40,"urn:cite:hmt:e4img.e4_239@0.177,0.304,0.288,0.026"
urn:cts:greekLit:tlg0012.tlg001.e4:1.41,"urn:cite:hmt:e4img.e4_239@0.18,0.318,0.284,0.026"
