PageUrn,IliadPassage
urn:cite:hmt:e4.1r,urn:cts:greekLit:tlg0012.tlg001.e4:1.1-1.12
urn:cite:hmt:e4.7r,urn:cts:greekLit:tlg0012.tlg001.e4:1.1-1.34
urn:cite:hmt:e4.7v,urn:cts:greekLit:tlg0012.tlg001.e4:1.35-1.73
urn:cite:hmt:e4.8r,urn:cts:greekLit:tlg0012.tlg001.e4:1.74-1.113
urn:cite:hmt:e4.8v,urn:cts:greekLit:tlg0012.tlg001.e4:1.114-1.151
urn:cite:hmt:e4.9r,urn:cts:greekLit:tlg0012.tlg001.e4:1.151-1.190
urn:cite:hmt:e4.9v,urn:cts:greekLit:tlg0012.tlg001.e4:1.191-1.228
urn:cite:hmt:e4.10r,urn:cts:greekLit:tlg0012.tlg001.e4:1.229-1.268
urn:cite:hmt:e4.10v,urn:cts:greekLit:tlg0012.tlg001.e4:1.269-1.307
urn:cite:hmt:e4.11r,urn:cts:greekLit:tlg0012.tlg001.e4:1.308-1.346
urn:cite:hmt:e4.11v,urn:cts:greekLit:tlg0012.tlg001.e4:1.347-1.386
urn:cite:hmt:e4.12r,urn:cts:greekLit:tlg0012.tlg001.e4:1.387-1.425
urn:cite:hmt:e4.12v,urn:cts:greekLit:tlg0012.tlg001.e4:1.426-1.464
urn:cite:hmt:e4.13r,urn:cts:greekLit:tlg0012.tlg001.e4:1.465-1.503
urn:cite:hmt:e4.13v,urn:cts:greekLit:tlg0012.tlg001.e4:1.504-1.542
urn:cite:hmt:e4.14r,urn:cts:greekLit:tlg0012.tlg001.e4:1.543-1.584
