urn:cts:greekLit:tlg0012.tlg001.msA:1.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Μῆνιν ἄειδε θεὰ <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.5	<l xmlns="http://www.tei-c.org/ns/1.0" n="5"> οἰωνοῖσί τε πᾶσι· <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> δ' ἐτελείετο βουλή· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.7	<l xmlns="http://www.tei-c.org/ns/1.0" n="7"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> τε ἄναξ ἀνδρῶν καὶ δῖος <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.9	<l xmlns="http://www.tei-c.org/ns/1.0" n="9"> <persName n="urn:cite:hmt:pers.pers35"> Λητοῦς</persName> καὶ <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> υἱός· ὁ γὰρ βασιλῆϊ χολωθεὶς </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.11	<l xmlns="http://www.tei-c.org/ns/1.0" n="11"> οὕνεκα τὸν <persName n="urn:cite:hmt:pers.pers44"> Χρύσην</persName> ἠτίμασεν ἀρητῆρα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.12	<l xmlns="http://www.tei-c.org/ns/1.0" n="12"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> · ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιῶν</rs> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.14	<l xmlns="http://www.tei-c.org/ns/1.0" n="14"> στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.16	<l xmlns="http://www.tei-c.org/ns/1.0" n="16"> <persName n="urn:cite:hmt:pers.pers119"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδα</persName></persName> δὲ μάλιστα δύω κοσμήτορε λαῶν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.17	<l xmlns="http://www.tei-c.org/ns/1.0" n="17"> <persName n="urn:cite:hmt:pers.pers119"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρεῖδαί</persName></persName> τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.19	<l xmlns="http://www.tei-c.org/ns/1.0" n="19"> ἐκπέρσαι <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> πόλιν· εὖ δ' οἴκαδ' ϊκέσθαι· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.21	<l xmlns="http://www.tei-c.org/ns/1.0" n="21"> ἁζόμενοι <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> υἱὸν ἑκηβόλον <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνα</persName> · </l>
